Quantity,Input,GridIndex,InputScaled,InputPhysical,Mean,Median,Q10,Q90
HVI_draw,3,27,0.866666666666667,8.68,0.59791144246206,0,0,1.85046299430402
HVI_draw,3,28,0.9,9.01,0.589932741964929,0,0,1.77367256169092
HVI_draw,3,29,0.933333333333333,9.34,0.584795426017836,0,0,1.80744696948854
HVI_draw,3,30,0.966666666666667,9.67,0.580040081906285,0,0,1.84779131205933
HVI_draw,3,31,1,10,0.576031547161377,0,0,1.81573240494892
HVI_draw,4,1,0,0.125,0.900101398380822,0,0,3.34672253443111
HVI_draw,4,2,0.0333333333333333,0.2875,0.877444053583854,0,0,3.35034557233165
HVI_draw,4,3,0.0666666666666667,0.45,0.855225044426906,0,0,3.05858695380278
HVI_draw,4,4,0.1,0.6125,0.83517214724026,0,0,2.70950525559611
HVI_draw,4,5,0.133333333333333,0.775,0.813865318118676,0,0,2.36915418162788
HVI_draw,4,6,0.166666666666667,0.9375,0.792692990447302,0,0,2.32949864140716
HVI_draw,4,7,0.2,1.1,0.771428119061858,0,0,2.46643490658255
HVI_draw,4,8,0.233333333333333,1.2625,0.748987020586887,0,0,2.61075292533176
HVI_draw,4,9,0.266666666666667,1.425,0.727043342047197,0,0,2.53443100872743
HVI_draw,4,10,0.3,1.5875,0.705122514411724,0,0,2.43986400428951
HVI_draw,4,11,0.333333333333333,1.75,0.682615877513856,0,0,2.42814956771365
HVI_draw,4,12,0.366666666666667,1.9125,0.661494233452595,0,0,2.39957751523321
HVI_draw,4,13,0.4,2.075,0.639920421273199,0,0,2.39987007377496
HVI_draw,4,14,0.433333333333333,2.2375,0.616449085508454,0,0,2.2367349938751
HVI_draw,4,15,0.466666666666667,2.4,0.592660793747359,0,0,1.94975815432964
HVI_draw,4,16,0.5,2.5625,0.570296056041834,0,0,1.99388254063998
HVI_draw,4,17,0.533333333333333,2.725,0.553291882321709,0,0,2.11974536655569
HVI_draw,4,18,0.566666666666667,2.8875,0.54051795873913,0,0,2.23426456444709
HVI_draw,4,19,0.6,3.05,0.527340137104577,0,0,2.12305155002717
HVI_draw,4,20,0.633333333333333,3.2125,0.512688662470599,0,0,1.93770759014132
HVI_draw,4,21,0.666666666666667,3.375,0.498303092447751,0,0,1.74120331484156
HVI_draw,4,22,0.7,3.5375,0.489567395238421,0,0,1.53786516191062
HVI_draw,4,23,0.733333333333333,3.7,0.480773109959874,0,0,1.50551371556595
HVI_draw,4,24,0.766666666666667,3.8625,0.473035564062807,0,0,1.6294713070331
HVI_draw,4,25,0.8,4.025,0.46541145183322,0,0,1.75106404909612
HVI_draw,4,26,0.833333333333333,4.1875,0.458702396045322,0,0,1.84563666918825
HVI_draw,4,27,0.866666666666667,4.35,0.450510942832102,0,0,1.78766253696903
HVI_draw,4,28,0.9,4.5125,0.440957305839217,0,0,1.65294491497135
HVI_draw,4,29,0.933333333333333,4.675,0.430196489425661,0,0,1.51328406480216
HVI_draw,4,30,0.966666666666667,4.8375,0.420056986235061,0,0,1.49181458356305
HVI_draw,4,31,1,5,0.409663849097557,0,0,1.35657348033646
