InputPhysical,PositiveHviFraction,MeanNormalizedHvi,MedianNormalizedHvi,P90NormalizedHvi,P99NormalizedHvi,SampledProfileMaximumNormalizedHvi
4.228125,0.39453125,0.0303968472416385,0,0.103879355467969,0.244618204255312,0.57225969426673
4.26875,0.39599609375,0.030366142923518,0,0.104373848099105,0.242589946977587,0.573497611039802
4.309375,0.392578125,0.030342474869714,0,0.104822502283894,0.242840820875519,0.57472864125684
4.35,0.39697265625,0.0303267898411966,0,0.104887542187586,0.240261102706832,0.575946706588226
4.390625,0.3984375,0.0303117227866251,0,0.104900088920875,0.237194172356487,0.577145726502486
4.43125,0.39794921875,0.0302948189848465,0,0.103817628826175,0.237701099621123,0.57831963212878
4.471875,0.3994140625,0.0302771913789185,0,0.102496714865807,0.238175578688506,0.579462380116758
4.5125,0.400390625,0.030257786495756,0,0.103058957728479,0.238613681130959,0.580567966464926
4.553125,0.400390625,0.0302411519767401,0,0.102828543402891,0.237408553556611,0.58163044028585
4.59375,0.40087890625,0.0302235736421377,0,0.103335888531605,0.2363785413096,0.582643917476295
4.634375,0.3994140625,0.0302064781148431,0,0.103730920266851,0.23631443534389,0.583602594850956
4.675,0.400390625,0.0301898479295901,0,0.103703779480913,0.236141218920672,0.584500762048784
4.715625,0.40087890625,0.030166689607168,0,0.104744931727195,0.23639671798398,0.585332815580188
4.75625,0.4033203125,0.0301404917492277,0,0.105145176112866,0.237033239960788,0.586093272093708
4.796875,0.4033203125,0.0301131894513508,0,0.104628259762107,0.237732904947039,0.58677678074567
4.8375,0.40185546875,0.0300844195507848,0,0.103981435025097,0.237829931275152,0.587378135565737
4.878125,0.3994140625,0.0300514558366899,0,0.103194303553936,0.236856511969447,0.587892287477034
4.91875,0.39892578125,0.0300172944037644,0,0.104062735449461,0.235440126804042,0.588314355933597
4.959375,0.39794921875,0.0299799644804732,0,0.103921798027927,0.2349056353636,0.588639640141321
5,0.400390625,0.0299409361891228,0,0.102325781651248,0.23364204039847,0.588863629828598
