RelativePath,Category,Bytes,Sha256,Status,ManuscriptReference,Generator
manuscript/artifacts/ga_primary_dimension/runs/MW7_D6_rep05/result.mat,ga_primary_dimension,320559,c6bd8ef664e6270b2b6459c121c13465480514b52b029f3ec35f66277173a715,supporting,,studies/dimension_matched_pof/launch_full_study.m
manuscript/artifacts/ga_primary_dimension/runs/WELDEDBEAM_rep01/result.mat,ga_primary_dimension,320066,2ecdf723b9751f54bbc0b746d08b3fb93759dfe66b94791f691cde035de7753f,supporting,,studies/dimension_matched_pof/launch_full_study.m
manuscript/artifacts/ga_primary_dimension/runs/WELDEDBEAM_rep02/result.mat,ga_primary_dimension,320646,06bf44111cc46a5e1edcde1412f6ad1b67b768ff42b65dacd7e905ac85c1bb0c,supporting,,studies/dimension_matched_pof/launch_full_study.m
manuscript/artifacts/ga_primary_dimension/runs/WELDEDBEAM_rep03/result.mat,ga_primary_dimension,319708,b2ff20880c9a453db31cf83b4144edc1ee7865d08814009230ffe46204dca68f,supporting,,studies/dimension_matched_pof/launch_full_study.m
manuscript/artifacts/ga_primary_dimension/runs/WELDEDBEAM_rep04/result.mat,ga_primary_dimension,321193,ed659f3eb9f0ba5e9c8b15f5e41b889aa064a51e5c3d74a2ff476fd75f772e78,supporting,,studies/dimension_matched_pof/launch_full_study.m
manuscript/artifacts/ga_primary_dimension/runs/WELDEDBEAM_rep05/result.mat,ga_primary_dimension,320227,e20f35ecf73e4ef3f58e4a32661671dc7fa06ea15c7b73bffcba603980d6c90d,supporting,,studies/dimension_matched_pof/launch_full_study.m
manuscript/artifacts/ga_primary_dimension/source_manifest.csv,ga_primary_dimension,8891,f5528eba4868f5fb81b417734eb351f80b97aa94c1a8d3456cee1a1c67e25be7,supporting,,studies/dimension_matched_pof/launch_full_study.m
manuscript/artifacts/ga_primary_dimension/source_manifest_summary.json,ga_primary_dimension,663,b09e8b53e924ba6c1e4ef347ae284d965d1846ea854cc6a1b09c053fc1bbfef2,supporting,,studies/dimension_matched_pof/launch_full_study.m
manuscript/artifacts/ga_primary_dimension/study_manifest.json,ga_primary_dimension,1351,6e6aa79d0b14b4a0b883d8befce24af1dbe643ab58625acb45cb0fde9b1399e9,supporting,,studies/dimension_matched_pof/launch_full_study.m
manuscript/artifacts/ga_primary_dimension/study_results.mat,ga_primary_dimension,40635,9651b9b09e0b4f7900924cdcdb4f8a3cb1bbd18ab1271eaeab5c7ee8dffe4859,supporting,,studies/dimension_matched_pof/launch_full_study.m
manuscript/artifacts/ga_primary_dimension/validation_checks.csv,ga_primary_dimension,1643,75bcdc27d7701aed53d4429068431f747c0a5cf7477149815e7307e547a4fd29,supporting,,studies/dimension_matched_pof/launch_full_study.m
manuscript/artifacts/hull_coverage/README.md,hull_coverage,189,885affb8d12ed1741c9ef7391910c1da6102a7a6139b22aed991e8387839f115,supporting,,studies/hull_coverage/plot_dimension_hull_coverage.py
manuscript/artifacts/hull_coverage/dimension_hull_coverage.pdf,hull_coverage,55893,0c0ec71e74bfdd305cd3bee8655ffdbbc91c2f17c9ce61c27de4b7f3bf638417,cited,Figure 13,studies/hull_coverage/plot_dimension_hull_coverage.py
manuscript/artifacts/tests/TEST_SUMMARY.md,tests,308,4f4cc6d78926604f69c9ed304b290911d57e1d72132cf4420a3109508a1954d4,supporting,,run_release_tests.m
manuscript/artifacts/tests/test-results.xml,tests,12805,5b2c8cf183bceafc104cdbaca106953b3b13b856df3b4df6f1fac78d423d9173,supporting,,run_release_tests.m
manuscript/artifacts/two_dimensional_campaign/README.md,two_dimensional,1519,b906df055b2065094404f4d7eb730246d6433e7977c55ccd01164e75d89b0941,supporting,,studies/two_dimensional_pof/reproduce_two_dimensional_pof_results.m
manuscript/artifacts/two_dimensional_campaign/SUMMARY.txt,two_dimensional,1410,a18d7bc4e4bdcb09167a1f65d008b72a5004042a3df842e1ae2c84ee54b06a20,supporting,,studies/two_dimensional_pof/reproduce_two_dimensional_pof_results.m
manuscript/artifacts/two_dimensional_campaign/campaign_manifest.json,two_dimensional,14475,7cc2b6defa5c32edb4d1c2919c8d0854fb20e84150f45285a00b9b2a0cec07cd,supporting,,studies/two_dimensional_pof/reproduce_two_dimensional_pof_results.m
manuscript/artifacts/two_dimensional_campaign/campaign_summary.csv,two_dimensional,1070,670e262a02008f3d492bcc53edcf3d3c92deb8c4c91913258b2cc56c736fd927,cited,Table 6 and Section 5.2,studies/two_dimensional_pof/reproduce_two_dimensional_pof_results.m
manuscript/artifacts/two_dimensional_campaign/cossin2_acquisition_decomposition_metrics.csv,two_dimensional,714,35c175b7ab1991842eb756028ff8532550d9ff812d910b41946e5fc5892db77e,supporting,,studies/two_dimensional_pof/make_cossin2_acquisition_decomposition.py
manuscript/artifacts/two_dimensional_campaign/cossin_learning_metrics.csv,two_dimensional,2994,5cc922fbc9c010bfe1f3e0dc7d06f4f4b943734bd1886653237f65dabf1a3c3c,supporting,,studies/two_dimensional_pof/reproduce_two_dimensional_pof_results.m
