Dimension,SampleCount,ConvexHullHV,Log10ConvexHullHV,RelativeToInitialHull,FacetCount,ElapsedSeconds,Status
2,90,0.912500426581321,-0.0397669238447801,45.3139223706282,9,0.0008812,ok
2,91,0.912500426581321,-0.0397669238447801,45.3139223706282,9,0.0005028,ok
2,92,0.912500426581321,-0.0397669238447801,45.3139223706282,9,0.0009026,ok
2,93,0.912500426581321,-0.0397669238447801,45.3139223706282,9,0.0009517,ok
2,94,0.912500426581321,-0.0397669238447801,45.3139223706282,9,0.0009842,ok
2,95,0.912500426581321,-0.0397669238447801,45.3139223706282,9,0.0009089,ok
2,96,0.912500426581321,-0.0397669238447801,45.3139223706282,9,0.0008898,ok
2,97,0.912500426581321,-0.0397669238447801,45.3139223706282,9,0.0004973,ok
2,98,0.912500426581321,-0.0397669238447801,45.3139223706282,9,0.0008365,ok
2,99,0.912500426581321,-0.0397669238447801,45.3139223706282,9,0.0008704,ok
2,100,0.912500426581321,-0.0397669238447801,45.3139223706282,9,0.0009008,ok
2,101,0.912500426581321,-0.0397669238447801,45.3139223706282,9,0.0008258,ok
2,102,0.912500426581321,-0.0397669238447801,45.3139223706282,9,0.0005291,ok
2,103,0.912500426581321,-0.0397669238447801,45.3139223706282,9,0.0008025,ok
2,104,0.912500426581321,-0.0397669238447801,45.3139223706282,9,0.0009329,ok
2,105,0.912500426581321,-0.0397669238447801,45.3139223706282,9,0.0009375,ok
2,106,0.912500426581321,-0.0397669238447801,45.3139223706282,9,0.000653,ok
2,107,0.912500426581321,-0.0397669238447801,45.3139223706282,9,0.0007382,ok
2,108,0.912500426581321,-0.0397669238447801,45.3139223706282,9,0.0009534,ok
2,109,0.912500426581321,-0.0397669238447801,45.3139223706282,9,0.00086,ok
2,110,0.912643843430487,-0.0396986715456538,45.3210443179505,10,0.0009661,ok
2,111,0.912643843430487,-0.0396986715456538,45.3210443179505,10,0.0008506,ok
2,112,0.912643843430487,-0.0396986715456538,45.3210443179505,10,0.0005982,ok
2,113,0.912643843430487,-0.0396986715456538,45.3210443179505,10,0.0007986,ok
2,114,0.912643843430487,-0.0396986715456538,45.3210443179505,10,0.0009599,ok
2,115,0.912643843430487,-0.0396986715456538,45.3210443179505,10,0.0009352,ok
2,116,0.912643843430487,-0.0396986715456538,45.3210443179505,10,0.0009843,ok
2,117,0.912643843430487,-0.0396986715456538,45.3210443179505,10,0.0008758,ok
2,118,0.912643843430487,-0.0396986715456538,45.3210443179505,10,0.0004981,ok
2,119,0.912643843430487,-0.0396986715456538,45.3210443179505,10,0.0009198,ok
2,120,0.912643843430487,-0.0396986715456538,45.3210443179505,10,0.0009684,ok
2,121,0.912643843430487,-0.0396986715456538,45.3210443179505,10,0.0010335,ok
2,122,0.912643843430487,-0.0396986715456538,45.3210443179505,10,0.0005178,ok
2,123,0.912643843430487,-0.0396986715456538,45.3210443179505,10,0.0009215,ok
2,124,0.912643843430487,-0.0396986715456538,45.3210443179505,10,0.0008737,ok
2,125,0.912643843430487,-0.0396986715456538,45.3210443179505,10,0.0009065,ok
2,126,0.912643843430487,-0.0396986715456538,45.3210443179505,10,0.0004783,ok
2,127,0.912643843430487,-0.0396986715456538,45.3210443179505,10,0.0008593,ok
2,128,0.912643843430487,-0.0396986715456538,45.3210443179505,10,0.0008826,ok
2,129,0.912643843430487,-0.0396986715456538,45.3210443179505,10,0.0009219,ok
2,130,0.912643843430487,-0.0396986715456538,45.3210443179505,10,0.0008835,ok
2,131,0.912643843430487,-0.0396986715456538,45.3210443179505,10,0.0006477,ok
2,132,0.912643843430487,-0.0396986715456538,45.3210443179505,10,0.0007926,ok
2,133,0.912643843430487,-0.0396986715456538,45.3210443179505,10,0.0008545,ok
2,134,0.912643843430487,-0.0396986715456538,45.3210443179505,10,0.0005359,ok
2,135,0.912643843430487,-0.0396986715456538,45.3210443179505,10,0.0008945,ok
2,136,0.912643843430487,-0.0396986715456538,45.3210443179505,10,0.0009536,ok
2,137,0.912643843430487,-0.0396986715456538,45.3210443179505,10,0.000883,ok
2,138,0.912643843430487,-0.0396986715456538,45.3210443179505,10,0.0009377,ok
2,139,0.912643843430487,-0.0396986715456538,45.3210443179505,10,0.0005163,ok
2,140,0.912643843430487,-0.0396986715456538,45.3210443179505,10,0.0007857,ok
2,141,0.912643843430487,-0.0396986715456538,45.3210443179505,10,0.0009704,ok
2,142,0.921720990577171,-0.0354005221032015,45.7718070016378,11,0.0009284,ok
2,143,0.921720990577171,-0.0354005221032015,45.7718070016378,11,0.0008792,ok
2,144,0.921720990577171,-0.0354005221032015,45.7718070016378,11,0.0005482,ok
2,145,0.921720990577171,-0.0354005221032015,45.7718070016378,11,0.0009232,ok
2,146,0.921720990577171,-0.0354005221032015,45.7718070016378,11,0.0008571,ok
2,147,0.921720990577171,-0.0354005221032015,45.7718070016378,11,0.0008707,ok
2,148,0.930488622163566,-0.0312889329703876,46.2071994305144,12,0.0005298,ok
2,149,0.930488622163566,-0.0312889329703876,46.2071994305144,12,0.0008142,ok
2,150,0.930488622163566,-0.0312889329703876,46.2071994305144,12,0.0008727,ok
2,151,0.930488622163566,-0.0312889329703876,46.2071994305144,12,0.0008306,ok
2,152,0.930488622163566,-0.0312889329703876,46.2071994305144,12,0.0005355,ok
2,153,0.930488622163566,-0.0312889329703876,46.2071994305144,12,0.0008403,ok
2,154,0.930488622163566,-0.0312889329703876,46.2071994305144,12,0.001026,ok
2,155,0.930488622163566,-0.0312889329703876,46.2071994305144,12,0.0008775,ok
2,156,0.930488622163566,-0.0312889329703876,46.2071994305144,12,0.0009887,ok
2,157,0.931173734589338,-0.0309692825693907,46.2412214762826,13,0.0010076,ok
2,158,0.931173734589338,-0.0309692825693907,46.2412214762826,13,0.0006464,ok
2,159,0.93440730370419,-0.0294637755976534,46.4017975106406,13,0.0006952,ok
2,160,0.93440730370419,-0.0294637755976534,46.4017975106406,13,0.0007881,ok
2,161,0.935508907948966,-0.0289520727768391,46.4565021527172,14,0.0010387,ok
2,162,0.935508907948966,-0.0289520727768391,46.4565021527172,14,0.0009037,ok
2,163,0.935508907948966,-0.0289520727768391,46.4565021527172,14,0.0005565,ok
2,164,0.935508907948966,-0.0289520727768391,46.4565021527172,14,0.0008268,ok
2,165,0.935508907948966,-0.0289520727768391,46.4565021527172,14,0.0009574,ok
2,166,0.935508907948966,-0.0289520727768391,46.4565021527172,14,0.0008898,ok
2,167,0.935508907948966,-0.0289520727768391,46.4565021527172,14,0.0006461,ok
2,168,0.935508907948966,-0.0289520727768391,46.4565021527172,14,0.000745,ok
