Case,SequentialIteration,EvaluationCount,FixedReferenceHypervolume,FractionOfRunFinalHypervolume,FeasibleCount,ReferenceF1,ReferenceF2
WELDEDBEAM,77,97,45.5614930296551,0.999719419876929,65,367.30045,0.127380278502743
WELDEDBEAM,78,98,45.5614930296551,0.999719419876929,66,367.30045,0.127380278502743
WELDEDBEAM,79,99,45.5614930296551,0.999719419876929,67,367.30045,0.127380278502743
WELDEDBEAM,80,100,45.5614930296551,0.999719419876929,67,367.30045,0.127380278502743
WELDEDBEAM,81,101,45.5614930296551,0.999719419876929,68,367.30045,0.127380278502743
WELDEDBEAM,82,102,45.5614930296551,0.999719419876929,68,367.30045,0.127380278502743
WELDEDBEAM,83,103,45.5614930296551,0.999719419876929,69,367.30045,0.127380278502743
WELDEDBEAM,84,104,45.5614930296551,0.999719419876929,69,367.30045,0.127380278502743
WELDEDBEAM,85,105,45.5616577629374,0.999723034487655,70,367.30045,0.127380278502743
WELDEDBEAM,86,106,45.5616577629374,0.999723034487655,71,367.30045,0.127380278502743
WELDEDBEAM,87,107,45.5616577629374,0.999723034487655,71,367.30045,0.127380278502743
WELDEDBEAM,88,108,45.5616577629374,0.999723034487655,71,367.30045,0.127380278502743
WELDEDBEAM,89,109,45.5616577629374,0.999723034487655,72,367.30045,0.127380278502743
WELDEDBEAM,90,110,45.5616577629374,0.999723034487655,72,367.30045,0.127380278502743
WELDEDBEAM,91,111,45.5616577629374,0.999723034487655,73,367.30045,0.127380278502743
WELDEDBEAM,92,112,45.5616577629374,0.999723034487655,74,367.30045,0.127380278502743
WELDEDBEAM,93,113,45.56988639827,0.999903588854821,75,367.30045,0.127380278502743
WELDEDBEAM,94,114,45.56988639827,0.999903588854821,76,367.30045,0.127380278502743
WELDEDBEAM,95,115,45.56988639827,0.999903588854821,77,367.30045,0.127380278502743
WELDEDBEAM,96,116,45.56988639827,0.999903588854821,78,367.30045,0.127380278502743
WELDEDBEAM,97,117,45.56988639827,0.999903588854821,79,367.30045,0.127380278502743
WELDEDBEAM,98,118,45.56988639827,0.999903588854821,79,367.30045,0.127380278502743
WELDEDBEAM,99,119,45.56988639827,0.999903588854821,79,367.30045,0.127380278502743
WELDEDBEAM,100,120,45.56988639827,0.999903588854821,80,367.30045,0.127380278502743
WELDEDBEAM,101,121,45.56988639827,0.999903588854821,81,367.30045,0.127380278502743
WELDEDBEAM,102,122,45.56988639827,0.999903588854821,81,367.30045,0.127380278502743
WELDEDBEAM,103,123,45.56988639827,0.999903588854821,81,367.30045,0.127380278502743
